source_email,to,from,subject,body,serial_number,item_name,item_description,item_specification,item_quantity,item_deadline
"To: fabrication.shop@factory.example.com
From: planning.officer+23@factory.example.com
Subject: Safety Guard Panels SN-0023

Dear Team,

For safety compliance we have Serial Number SN-0023 for the item named ""Safety Guard Panel GP-23"". The item description is: mesh guard panels used around rotating equipment. Please apply the following item specification: Mesh=40x40mm; Frame=25x25x3mm; Height=2000mm; Color=Yellow. We require an item quantity of 36 units, and the item deadline is 2026-03-23.

Regards,
Planning Office",fabrication.shop@factory.example.com,planning.officer+23@factory.example.com,Safety Guard Panels SN-0023,"Dear Team,

For safety compliance we have Serial Number SN-0023 for the item named ""Safety Guard Panel GP-23"". The item description is: mesh guard panels used around rotating equipment. Please apply the following item specification: Mesh=40x40mm; Frame=25x25x3mm; Height=2000mm; Color=Yellow. We require an item quantity of 36 units, and the item deadline is 2026-03-23.

Regards,
Planning Office",SN-0023,Safety Guard Panel GP-23,"mesh guard panels used around rotating equipment. Please apply the following item specification: Mesh=40x40mm; Frame=25x25x3mm; Height=2000mm; Color=Yellow. We require an item quantity of 36 units, and the item deadline is 2026-03-23.",,,2026-03-23
"To: printing.cell@factory.example.com
From: planning.officer+24@factory.example.com
Subject: Label Printers SN-0024

Hello Printing Team,

This mail refers to Serial Number SN-0024 for the item named ""Label Printer LP-24"". The item description is: thermal label printer used for carton identification labels on the line. The relevant item specification is: Resolution=300dpi; Width=108mm; Interface=USB+Ethernet; Supply=230VAC. Please plan an item quantity of 11 units, and note that the item deadline is 2026-03-24.

Thanks,
Planning",printing.cell@factory.example.com,planning.officer+24@factory.example.com,Label Printers SN-0024,"Hello Printing Team,

This mail refers to Serial Number SN-0024 for the item named ""Label Printer LP-24"". The item description is: thermal label printer used for carton identification labels on the line. The relevant item specification is: Resolution=300dpi; Width=108mm; Interface=USB+Ethernet; Supply=230VAC. Please plan an item quantity of 11 units, and note that the item deadline is 2026-03-24.

Thanks,
Planning",SN-0024,Label Printer LP-24,"thermal label printer used for carton identification labels on the line. The relevant item specification is: Resolution=300dpi; Width=108mm; Interface=USB+Ethernet; Supply=230VAC. Please plan an item quantity of 11 units, and note that the item deadline is 2026-03-24.","Resolution=300dpi; Width=108mm; Interface=USB+Ethernet; Supply=230VAC. Please plan an item quantity of 11 units, and note that the item deadline is 2026-03-24.",,2026-03-24
"To: printing.cell@factory.example.com
From: planning.officer+25@factory.example.com
Subject: Printhead Assemblies SN-0025

Hi team,

We have created Serial Number SN-0025 for the item named ""Printhead Assembly PA-25"". The item description is: replacement printhead unit for the installed thermal printers. The mandatory item specification is: Resolution=300dpi; Width=4 inch; Connector=Standard OEM; Life=50km. The required item quantity is 27 units, and the item deadline is 2026-03-25.

Regards,
Planning",printing.cell@factory.example.com,planning.officer+25@factory.example.com,Printhead Assemblies SN-0025,"Hi team,

We have created Serial Number SN-0025 for the item named ""Printhead Assembly PA-25"". The item description is: replacement printhead unit for the installed thermal printers. The mandatory item specification is: Resolution=300dpi; Width=4 inch; Connector=Standard OEM; Life=50km. The required item quantity is 27 units, and the item deadline is 2026-03-25.

Regards,
Planning",SN-0025,Printhead Assembly PA-25,"replacement printhead unit for the installed thermal printers. The mandatory item specification is: Resolution=300dpi; Width=4 inch; Connector=Standard OEM; Life=50km. The required item quantity is 27 units, and the item deadline is 2026-03-25.","Resolution=300dpi; Width=4 inch; Connector=Standard OEM; Life=50km. The required item quantity is 27 units, and the item deadline is 2026-03-25.",27,2026-03-25
"To: packing.materials@factory.example.com
From: planning.officer+26@factory.example.com
Subject: Wooden Pallets SN-0026

Hi,

Please register Serial Number SN-0026 for the item named ""Wooden Pallet WP-26"". The item description is: standard wooden pallet used for finished goods storage in the warehouse. The approved item specification is: Size=1200x1000mm; Load=1000kg; Deck=Closed; Treatment=Heat Treated. We need an item quantity of 140 units, and the item deadline is 2026-03-26.

Best regards,
Planning",packing.materials@factory.example.com,planning.officer+26@factory.example.com,Wooden Pallets SN-0026,"Hi,

Please register Serial Number SN-0026 for the item named ""Wooden Pallet WP-26"". The item description is: standard wooden pallet used for finished goods storage in the warehouse. The approved item specification is: Size=1200x1000mm; Load=1000kg; Deck=Closed; Treatment=Heat Treated. We need an item quantity of 140 units, and the item deadline is 2026-03-26.

Best regards,
Planning",SN-0026,Wooden Pallet WP-26,"standard wooden pallet used for finished goods storage in the warehouse. The approved item specification is: Size=1200x1000mm; Load=1000kg; Deck=Closed; Treatment=Heat Treated. We need an item quantity of 140 units, and the item deadline is 2026-03-26.","Size=1200x1000mm; Load=1000kg; Deck=Closed; Treatment=Heat Treated. We need an item quantity of 140 units, and the item deadline is 2026-03-26.",,2026-03-26
"To: packing.materials@factory.example.com
From: planning.officer+27@factory.example.com
Subject: Shrink Film Rolls SN-0027

Hello,

This is for Serial Number SN-0027 assigned to the item named ""Shrink Film Roll SF-27"". The item description is: polyolefin shrink film used for bundle wrapping of cartons. The item specification that must be followed is: Width=450mm; Thickness=20mic; Length=1000m; Color=Transparent. Please arrange an item quantity of 60 units, with an item deadline of 2026-03-27.

Thanks,
Planning Dept.",packing.materials@factory.example.com,planning.officer+27@factory.example.com,Shrink Film Rolls SN-0027,"Hello,

This is for Serial Number SN-0027 assigned to the item named ""Shrink Film Roll SF-27"". The item description is: polyolefin shrink film used for bundle wrapping of cartons. The item specification that must be followed is: Width=450mm; Thickness=20mic; Length=1000m; Color=Transparent. Please arrange an item quantity of 60 units, with an item deadline of 2026-03-27.

Thanks,
Planning Dept.",SN-0027,Shrink Film Roll SF-27,"polyolefin shrink film used for bundle wrapping of cartons. The item specification that must be followed is: Width=450mm; Thickness=20mic; Length=1000m; Color=Transparent. Please arrange an item quantity of 60 units, with an item deadline of 2026-03-27.",,,
"To: packing.materials@factory.example.com
From: planning.officer+28@factory.example.com
Subject: Corner Protectors SN-0028

Team,

We are placing Serial Number SN-0028 for the item named ""Corner Protector CP-28"". The item description is: cardboard corner protectors used on palletized loads to prevent edge damage. The required item specification is: Length=1200mm; Leg=60x60mm; Thickness=4mm; Color=Brown. The planned item quantity is 250 units, and the item deadline is 2026-03-28.

Regards,
Planning",packing.materials@factory.example.com,planning.officer+28@factory.example.com,Corner Protectors SN-0028,"Team,

We are placing Serial Number SN-0028 for the item named ""Corner Protector CP-28"". The item description is: cardboard corner protectors used on palletized loads to prevent edge damage. The required item specification is: Length=1200mm; Leg=60x60mm; Thickness=4mm; Color=Brown. The planned item quantity is 250 units, and the item deadline is 2026-03-28.

Regards,
Planning",SN-0028,Corner Protector CP-28,"cardboard corner protectors used on palletized loads to prevent edge damage. The required item specification is: Length=1200mm; Leg=60x60mm; Thickness=4mm; Color=Brown. The planned item quantity is 250 units, and the item deadline is 2026-03-28.","Length=1200mm; Leg=60x60mm; Thickness=4mm; Color=Brown. The planned item quantity is 250 units, and the item deadline is 2026-03-28.",250,2026-03-28
"To: packing.materials@factory.example.com
From: planning.officer+29@factory.example.com
Subject: PP Strapping Rolls SN-0029

Hi,

Serial Number SN-0029 corresponds to the item named ""PP Strapping Roll SR-29"". The item description is: polypropylene strapping used for carton bundling and pallet securing. The item specification is: Width=12mm; Thickness=0.8mm; Length=2000m; Color=White. We require an item quantity of 90 units, and the item deadline is 2026-03-29.

Thanks,
Planning",packing.materials@factory.example.com,planning.officer+29@factory.example.com,PP Strapping Rolls SN-0029,"Hi,

Serial Number SN-0029 corresponds to the item named ""PP Strapping Roll SR-29"". The item description is: polypropylene strapping used for carton bundling and pallet securing. The item specification is: Width=12mm; Thickness=0.8mm; Length=2000m; Color=White. We require an item quantity of 90 units, and the item deadline is 2026-03-29.

Thanks,
Planning",SN-0029,PP Strapping Roll SR-29,"polypropylene strapping used for carton bundling and pallet securing. The item specification is: Width=12mm; Thickness=0.8mm; Length=2000m; Color=White. We require an item quantity of 90 units, and the item deadline is 2026-03-29.","Width=12mm; Thickness=0.8mm; Length=2000m; Color=White. We require an item quantity of 90 units, and the item deadline is 2026-03-29.",,2026-03-29
"To: packing.tools@factory.example.com
From: planning.officer+30@factory.example.com
Subject: Strapping Tools SN-0030

Hello Tools Team,

We have opened Serial Number SN-0030 for the item named ""Strapping Tool ST-30"". The item description is: manual tensioner and sealer used for PP strap tightening. The confirmed item specification is: Strap Width=12-16mm; Type=Manual; Body=Steel; Grip=Ergonomic. The item quantity required is 35 units, and the item deadline is 2026-03-30.

Regards,
Planning",packing.tools@factory.example.com,planning.officer+30@factory.example.com,Strapping Tools SN-0030,"Hello Tools Team,

We have opened Serial Number SN-0030 for the item named ""Strapping Tool ST-30"". The item description is: manual tensioner and sealer used for PP strap tightening. The confirmed item specification is: Strap Width=12-16mm; Type=Manual; Body=Steel; Grip=Ergonomic. The item quantity required is 35 units, and the item deadline is 2026-03-30.

Regards,
Planning",SN-0030,Strapping Tool ST-30,"manual tensioner and sealer used for PP strap tightening. The confirmed item specification is: Strap Width=12-16mm; Type=Manual; Body=Steel; Grip=Ergonomic. The item quantity required is 35 units, and the item deadline is 2026-03-30.","Strap Width=12-16mm; Type=Manual; Body=Steel; Grip=Ergonomic. The item quantity required is 35 units, and the item deadline is 2026-03-30.",,2026-03-30
"To: automation.design@factory.example.com
From: planning.officer+31@factory.example.com
Subject: Carton Erector Frames SN-0031

Hi team,

Serial Number SN-0031 is for the item named ""Carton Erector Frame CEF-31"". The item description is: mechanical frame for the automatic carton erecting machine. The item specification is: Material=MS; Base=1200x800mm; Height=1600mm; Finish=Powder Coat. Please produce an item quantity of 6 units, with an item deadline of 2026-03-31.

Best,
Planning",automation.design@factory.example.com,planning.officer+31@factory.example.com,Carton Erector Frames SN-0031,"Hi team,

Serial Number SN-0031 is for the item named ""Carton Erector Frame CEF-31"". The item description is: mechanical frame for the automatic carton erecting machine. The item specification is: Material=MS; Base=1200x800mm; Height=1600mm; Finish=Powder Coat. Please produce an item quantity of 6 units, with an item deadline of 2026-03-31.

Best,
Planning",SN-0031,Carton Erector Frame CEF-31,"mechanical frame for the automatic carton erecting machine. The item specification is: Material=MS; Base=1200x800mm; Height=1600mm; Finish=Powder Coat. Please produce an item quantity of 6 units, with an item deadline of 2026-03-31.","Material=MS; Base=1200x800mm; Height=1600mm; Finish=Powder Coat. Please produce an item quantity of 6 units, with an item deadline of 2026-03-31.",,
"To: robotics.cell@factory.example.com
From: planning.officer+32@factory.example.com
Subject: Vacuum Suction Cups SN-0032

Hello,

We are raising Serial Number SN-0032 for the item named ""Vacuum Suction Cup VSC-32"". The item description is: suction cup for the pick-and-place robotic arm handling cartons. The item specification is: Diameter=60mm; Material=NBR; Mount=G1/4 inch; Hardness=60 Shore. The required item quantity is 160 units, and the item deadline is 2026-04-01.

Regards,
Planning Dept.",robotics.cell@factory.example.com,planning.officer+32@factory.example.com,Vacuum Suction Cups SN-0032,"Hello,

We are raising Serial Number SN-0032 for the item named ""Vacuum Suction Cup VSC-32"". The item description is: suction cup for the pick-and-place robotic arm handling cartons. The item specification is: Diameter=60mm; Material=NBR; Mount=G1/4 inch; Hardness=60 Shore. The required item quantity is 160 units, and the item deadline is 2026-04-01.

Regards,
Planning Dept.",SN-0032,Vacuum Suction Cup VSC-32,"suction cup for the pick-and-place robotic arm handling cartons. The item specification is: Diameter=60mm; Material=NBR; Mount=G1/4 inch; Hardness=60 Shore. The required item quantity is 160 units, and the item deadline is 2026-04-01.","Diameter=60mm; Material=NBR; Mount=G1/4 inch; Hardness=60 Shore. The required item quantity is 160 units, and the item deadline is 2026-04-01.",160,2026-04-01
"To: robotics.cell@factory.example.com
From: planning.officer+33@factory.example.com
Subject: Vacuum Generators SN-0033

Hi Robotics Team,

Serial Number SN-0033 refers to the item named ""Vacuum Generator VG-33"". The item description is: venturi-type vacuum generator used in the carton handling system. The item specification is: Supply=6bar; Vacuum=-85kPa; Port=G1/4 inch; Body=Aluminum. Please plan an item quantity of 32 units, and note that the item deadline is 2026-04-02.

Thanks,
Planning",robotics.cell@factory.example.com,planning.officer+33@factory.example.com,Vacuum Generators SN-0033,"Hi Robotics Team,

Serial Number SN-0033 refers to the item named ""Vacuum Generator VG-33"". The item description is: venturi-type vacuum generator used in the carton handling system. The item specification is: Supply=6bar; Vacuum=-85kPa; Port=G1/4 inch; Body=Aluminum. Please plan an item quantity of 32 units, and note that the item deadline is 2026-04-02.

Thanks,
Planning",SN-0033,Vacuum Generator VG-33,"venturi-type vacuum generator used in the carton handling system. The item specification is: Supply=6bar; Vacuum=-85kPa; Port=G1/4 inch; Body=Aluminum. Please plan an item quantity of 32 units, and note that the item deadline is 2026-04-02.","Supply=6bar; Vacuum=-85kPa; Port=G1/4 inch; Body=Aluminum. Please plan an item quantity of 32 units, and note that the item deadline is 2026-04-02.",,2026-04-02
"To: pneumatics.cell@factory.example.com
From: planning.officer+34@factory.example.com
Subject: Air Filter Regulators SN-0034

Team,

We have created Serial Number SN-0034 for the item named ""Air Filter Regulator AFR-34"". The item description is: filter-regulator unit used on the plant compressed air line. The specified item specification is: Port Size=1/2 inch; Pressure=0-10bar; Filter=40mic; Bowl=Polycarbonate. The required item quantity is 48 units, and the item deadline is 2026-04-03.

Regards,
Planning",pneumatics.cell@factory.example.com,planning.officer+34@factory.example.com,Air Filter Regulators SN-0034,"Team,

We have created Serial Number SN-0034 for the item named ""Air Filter Regulator AFR-34"". The item description is: filter-regulator unit used on the plant compressed air line. The specified item specification is: Port Size=1/2 inch; Pressure=0-10bar; Filter=40mic; Bowl=Polycarbonate. The required item quantity is 48 units, and the item deadline is 2026-04-03.

Regards,
Planning",SN-0034,Air Filter Regulator AFR-34,"filter-regulator unit used on the plant compressed air line. The specified item specification is: Port Size=1/2 inch; Pressure=0-10bar; Filter=40mic; Bowl=Polycarbonate. The required item quantity is 48 units, and the item deadline is 2026-04-03.","Port Size=1/2 inch; Pressure=0-10bar; Filter=40mic; Bowl=Polycarbonate. The required item quantity is 48 units, and the item deadline is 2026-04-03.",48,2026-04-03
"To: pneumatics.cell@factory.example.com
From: planning.officer+35@factory.example.com
Subject: Air Lubricators SN-0035

Hi,

Serial Number SN-0035 has been assigned to the item named ""Air Lubricator AL-35"". The item description is: inline lubricator used for pneumatic tool supply. The item specification is: Port Size=1/2 inch; Capacity=150ml; Material=Aluminum+Polycarbonate. We need an item quantity of 42 units, and the item deadline is 2026-04-04.

Best,
Planning",pneumatics.cell@factory.example.com,planning.officer+35@factory.example.com,Air Lubricators SN-0035,"Hi,

Serial Number SN-0035 has been assigned to the item named ""Air Lubricator AL-35"". The item description is: inline lubricator used for pneumatic tool supply. The item specification is: Port Size=1/2 inch; Capacity=150ml; Material=Aluminum+Polycarbonate. We need an item quantity of 42 units, and the item deadline is 2026-04-04.

Best,
Planning",SN-0035,Air Lubricator AL-35,"inline lubricator used for pneumatic tool supply. The item specification is: Port Size=1/2 inch; Capacity=150ml; Material=Aluminum+Polycarbonate. We need an item quantity of 42 units, and the item deadline is 2026-04-04.","Port Size=1/2 inch; Capacity=150ml; Material=Aluminum+Polycarbonate. We need an item quantity of 42 units, and the item deadline is 2026-04-04.",,2026-04-04
"To: powertrain.shop@factory.example.com
From: planning.officer+36@factory.example.com
Subject: Helical Gearboxes SN-0036

Hello team,

Please schedule Serial Number SN-0036 for the item named ""Helical Gearbox HG-36"". The item description is: inline helical gearbox used for conveyor drive reduction. The confirmed item specification is: Ratio=20:1; Power=3kW; Mounting=Foot; Service Factor=1.4. The requested item quantity is 14 units, and the item deadline is 2026-04-05.

Regards,
Planning",powertrain.shop@factory.example.com,planning.officer+36@factory.example.com,Helical Gearboxes SN-0036,"Hello team,

Please schedule Serial Number SN-0036 for the item named ""Helical Gearbox HG-36"". The item description is: inline helical gearbox used for conveyor drive reduction. The confirmed item specification is: Ratio=20:1; Power=3kW; Mounting=Foot; Service Factor=1.4. The requested item quantity is 14 units, and the item deadline is 2026-04-05.

Regards,
Planning",SN-0036,Helical Gearbox HG-36,"inline helical gearbox used for conveyor drive reduction. The confirmed item specification is: Ratio=20:1; Power=3kW; Mounting=Foot; Service Factor=1.4. The requested item quantity is 14 units, and the item deadline is 2026-04-05.","Ratio=20:1; Power=3kW; Mounting=Foot; Service Factor=1.4. The requested item quantity is 14 units, and the item deadline is 2026-04-05.",14,2026-04-05
"To: powertrain.shop@factory.example.com
From: planning.officer+37@factory.example.com
Subject: Flexible Couplings SN-0037

Hi Powertrain Team,

Serial Number SN-0037 corresponds to the item named ""Flexible Coupling FC-37"". The item description is: flexible coupling installed between motor and gearbox shaft. The item specification is: Type=Jaw; Bore1=28mm; Bore2=35mm; Insert=PU. Please arrange an item quantity of 26 units, and remember the item deadline is 2026-04-06.

Thanks,
Planning",powertrain.shop@factory.example.com,planning.officer+37@factory.example.com,Flexible Couplings SN-0037,"Hi Powertrain Team,

Serial Number SN-0037 corresponds to the item named ""Flexible Coupling FC-37"". The item description is: flexible coupling installed between motor and gearbox shaft. The item specification is: Type=Jaw; Bore1=28mm; Bore2=35mm; Insert=PU. Please arrange an item quantity of 26 units, and remember the item deadline is 2026-04-06.

Thanks,
Planning",SN-0037,Flexible Coupling FC-37,"flexible coupling installed between motor and gearbox shaft. The item specification is: Type=Jaw; Bore1=28mm; Bore2=35mm; Insert=PU. Please arrange an item quantity of 26 units, and remember the item deadline is 2026-04-06.","Type=Jaw; Bore1=28mm; Bore2=35mm; Insert=PU. Please arrange an item quantity of 26 units, and remember the item deadline is 2026-04-06.",,2026-04-06
"To: conveyor.shop@factory.example.com
From: planning.officer+38@factory.example.com
Subject: Conveyor Rollers SN-0038

Dear Team,

We have opened Serial Number SN-0038 for the item named ""Conveyor Roller CR-38"". The item description is: gravity conveyor roller for idle roller sections on the line. The approved item specification is: Diameter=50mm; Length=600mm; Material=MS Zinc Plated; Bearing=6201. The required item quantity is 210 units, and the item deadline is 2026-04-07.

Regards,
Planning Office",conveyor.shop@factory.example.com,planning.officer+38@factory.example.com,Conveyor Rollers SN-0038,"Dear Team,

We have opened Serial Number SN-0038 for the item named ""Conveyor Roller CR-38"". The item description is: gravity conveyor roller for idle roller sections on the line. The approved item specification is: Diameter=50mm; Length=600mm; Material=MS Zinc Plated; Bearing=6201. The required item quantity is 210 units, and the item deadline is 2026-04-07.

Regards,
Planning Office",SN-0038,Conveyor Roller CR-38,"gravity conveyor roller for idle roller sections on the line. The approved item specification is: Diameter=50mm; Length=600mm; Material=MS Zinc Plated; Bearing=6201. The required item quantity is 210 units, and the item deadline is 2026-04-07.","Diameter=50mm; Length=600mm; Material=MS Zinc Plated; Bearing=6201. The required item quantity is 210 units, and the item deadline is 2026-04-07.",210,2026-04-07
"To: conveyor.shop@factory.example.com
From: planning.officer+39@factory.example.com
Subject: Side Guide Rails SN-0039

Hi,

Serial Number SN-0039 is related to the item named ""Side Guide Rail SGR-39"". The item description is: adjustable side guide rail for bottle conveyor sections. The item specification is: Material=UHMWPE; Length=3000mm; Height=80mm; Color=Green. The planned item quantity is 70 units, and the item deadline is 2026-04-08.

Best,
Planning",conveyor.shop@factory.example.com,planning.officer+39@factory.example.com,Side Guide Rails SN-0039,"Hi,

Serial Number SN-0039 is related to the item named ""Side Guide Rail SGR-39"". The item description is: adjustable side guide rail for bottle conveyor sections. The item specification is: Material=UHMWPE; Length=3000mm; Height=80mm; Color=Green. The planned item quantity is 70 units, and the item deadline is 2026-04-08.

Best,
Planning",SN-0039,Side Guide Rail SGR-39,"adjustable side guide rail for bottle conveyor sections. The item specification is: Material=UHMWPE; Length=3000mm; Height=80mm; Color=Green. The planned item quantity is 70 units, and the item deadline is 2026-04-08.","Material=UHMWPE; Length=3000mm; Height=80mm; Color=Green. The planned item quantity is 70 units, and the item deadline is 2026-04-08.",70,2026-04-08
"To: conveyor.shop@factory.example.com
From: planning.officer+40@factory.example.com
Subject: Support Brackets SN-0040

Hello,

We are scheduling Serial Number SN-0040 for the item named ""Support Bracket SB-40"". The item description is: bracket used for mounting side guide rails on conveyor frames. The item specification is: Material=SS304; Slot Length=60mm; Thickness=5mm; Finish=Brushed. We require an item quantity of 120 units, and the item deadline is 2026-04-09.

Regards,
Planning",conveyor.shop@factory.example.com,planning.officer+40@factory.example.com,Support Brackets SN-0040,"Hello,

We are scheduling Serial Number SN-0040 for the item named ""Support Bracket SB-40"". The item description is: bracket used for mounting side guide rails on conveyor frames. The item specification is: Material=SS304; Slot Length=60mm; Thickness=5mm; Finish=Brushed. We require an item quantity of 120 units, and the item deadline is 2026-04-09.

Regards,
Planning",SN-0040,Support Bracket SB-40,"bracket used for mounting side guide rails on conveyor frames. The item specification is: Material=SS304; Slot Length=60mm; Thickness=5mm; Finish=Brushed. We require an item quantity of 120 units, and the item deadline is 2026-04-09.","Material=SS304; Slot Length=60mm; Thickness=5mm; Finish=Brushed. We require an item quantity of 120 units, and the item deadline is 2026-04-09.",,2026-04-09
"To: sensors.cell@factory.example.com
From: planning.officer+41@factory.example.com
Subject: Photoeye Mounts SN-0041

Hi Sensors Team,

Serial Number SN-0041 covers the item named ""Photoeye Mount PM-41"". The item description is: adjustable mounting bracket for optical sensors on conveyors. The item specification is: Material=SS304; Height=300mm; Base=80x80mm; Adjustment=3 Axis. Please plan an item quantity of 65 units, with an item deadline of 2026-04-10.

Thanks,
Planning",sensors.cell@factory.example.com,planning.officer+41@factory.example.com,Photoeye Mounts SN-0041,"Hi Sensors Team,

Serial Number SN-0041 covers the item named ""Photoeye Mount PM-41"". The item description is: adjustable mounting bracket for optical sensors on conveyors. The item specification is: Material=SS304; Height=300mm; Base=80x80mm; Adjustment=3 Axis. Please plan an item quantity of 65 units, with an item deadline of 2026-04-10.

Thanks,
Planning",SN-0041,Photoeye Mount PM-41,"adjustable mounting bracket for optical sensors on conveyors. The item specification is: Material=SS304; Height=300mm; Base=80x80mm; Adjustment=3 Axis. Please plan an item quantity of 65 units, with an item deadline of 2026-04-10.","Material=SS304; Height=300mm; Base=80x80mm; Adjustment=3 Axis. Please plan an item quantity of 65 units, with an item deadline of 2026-04-10.",,
"To: mechanical.design@factory.example.com
From: planning.officer+42@factory.example.com
Subject: HMI Stands SN-0042

Team,

We have created Serial Number SN-0042 for the item named ""HMI Stand HS-42"". The item description is: floor stand used to mount the operator HMI terminal. The item specification is: Height=1400mm; Base=400x400mm; Tilt=30 Degrees; Material=MS. The required item quantity is 9 units, and the item deadline is 2026-04-11.

Regards,
Planning",mechanical.design@factory.example.com,planning.officer+42@factory.example.com,HMI Stands SN-0042,"Team,

We have created Serial Number SN-0042 for the item named ""HMI Stand HS-42"". The item description is: floor stand used to mount the operator HMI terminal. The item specification is: Height=1400mm; Base=400x400mm; Tilt=30 Degrees; Material=MS. The required item quantity is 9 units, and the item deadline is 2026-04-11.

Regards,
Planning",SN-0042,HMI Stand HS-42,"floor stand used to mount the operator HMI terminal. The item specification is: Height=1400mm; Base=400x400mm; Tilt=30 Degrees; Material=MS. The required item quantity is 9 units, and the item deadline is 2026-04-11.","Height=1400mm; Base=400x400mm; Tilt=30 Degrees; Material=MS. The required item quantity is 9 units, and the item deadline is 2026-04-11.",9,2026-04-11
"To: electrical.shop@factory.example.com
From: planning.officer+43@factory.example.com
Subject: Cable Trays SN-0043

Hello Electrical Team,

Serial Number SN-0043 refers to the item named ""Cable Tray CT-43"". The item description is: perforated cable tray used for control cable routing. The item specification is: Width=300mm; Height=50mm; Thickness=1.6mm; Finish=GI. Please supply an item quantity of 110 units, and note that the item deadline is 2026-04-12.

Thanks,
Planning",electrical.shop@factory.example.com,planning.officer+43@factory.example.com,Cable Trays SN-0043,"Hello Electrical Team,

Serial Number SN-0043 refers to the item named ""Cable Tray CT-43"". The item description is: perforated cable tray used for control cable routing. The item specification is: Width=300mm; Height=50mm; Thickness=1.6mm; Finish=GI. Please supply an item quantity of 110 units, and note that the item deadline is 2026-04-12.

Thanks,
Planning",SN-0043,Cable Tray CT-43,"perforated cable tray used for control cable routing. The item specification is: Width=300mm; Height=50mm; Thickness=1.6mm; Finish=GI. Please supply an item quantity of 110 units, and note that the item deadline is 2026-04-12.","Width=300mm; Height=50mm; Thickness=1.6mm; Finish=GI. Please supply an item quantity of 110 units, and note that the item deadline is 2026-04-12.",,2026-04-12
"To: electrical.shop@factory.example.com
From: planning.officer+44@factory.example.com
Subject: Cable Trunking SN-0044

Hi,

We are raising Serial Number SN-0044 for the item named ""Cable Trunking CTr-44"". The item description is: closed cable trunking used for routing power cables. The specified item specification is: Width=150mm; Height=100mm; Thickness=2mm; Finish=Powder Coat. The item quantity required is 60 units, and the item deadline is 2026-04-13.

Best,
Planning",electrical.shop@factory.example.com,planning.officer+44@factory.example.com,Cable Trunking SN-0044,"Hi,

We are raising Serial Number SN-0044 for the item named ""Cable Trunking CTr-44"". The item description is: closed cable trunking used for routing power cables. The specified item specification is: Width=150mm; Height=100mm; Thickness=2mm; Finish=Powder Coat. The item quantity required is 60 units, and the item deadline is 2026-04-13.

Best,
Planning",SN-0044,Cable Trunking CTr-44,"closed cable trunking used for routing power cables. The specified item specification is: Width=150mm; Height=100mm; Thickness=2mm; Finish=Powder Coat. The item quantity required is 60 units, and the item deadline is 2026-04-13.","Width=150mm; Height=100mm; Thickness=2mm; Finish=Powder Coat. The item quantity required is 60 units, and the item deadline is 2026-04-13.",,2026-04-13
"To: panels.shop@factory.example.com
From: planning.officer+45@factory.example.com
Subject: MCC Enclosures SN-0045

Dear Panel Shop,

Serial Number SN-0045 has been assigned to the item named ""MCC Enclosure MCC-45"". The item description is: motor control center enclosure with multiple feeders. The item specification is: Form=3B; Incomer=400A; Feeder=12 Starters; IP=IP42. We need an item quantity of 2 units, and the item deadline is 2026-04-14.

Regards,
Planning Office",panels.shop@factory.example.com,planning.officer+45@factory.example.com,MCC Enclosures SN-0045,"Dear Panel Shop,

Serial Number SN-0045 has been assigned to the item named ""MCC Enclosure MCC-45"". The item description is: motor control center enclosure with multiple feeders. The item specification is: Form=3B; Incomer=400A; Feeder=12 Starters; IP=IP42. We need an item quantity of 2 units, and the item deadline is 2026-04-14.

Regards,
Planning Office",SN-0045,MCC Enclosure MCC-45,"motor control center enclosure with multiple feeders. The item specification is: Form=3B; Incomer=400A; Feeder=12 Starters; IP=IP42. We need an item quantity of 2 units, and the item deadline is 2026-04-14.","Form=3B; Incomer=400A; Feeder=12 Starters; IP=IP42. We need an item quantity of 2 units, and the item deadline is 2026-04-14.",,2026-04-14
"To: panels.shop@factory.example.com
From: planning.officer+46@factory.example.com
Subject: VFD Panels SN-0046

Hi,

This email covers Serial Number SN-0046 for the item named ""VFD Panel VP-46"". The item description is: variable frequency drive panel used for speed control of motors. The item specification is: Power=22kW; Input=415VAC; Drives=3 Nos; Cooling=Forced Air. The planned item quantity is 3 units, and the item deadline is 2026-04-15.

Thanks,
Planning",panels.shop@factory.example.com,planning.officer+46@factory.example.com,VFD Panels SN-0046,"Hi,

This email covers Serial Number SN-0046 for the item named ""VFD Panel VP-46"". The item description is: variable frequency drive panel used for speed control of motors. The item specification is: Power=22kW; Input=415VAC; Drives=3 Nos; Cooling=Forced Air. The planned item quantity is 3 units, and the item deadline is 2026-04-15.

Thanks,
Planning",SN-0046,VFD Panel VP-46,"variable frequency drive panel used for speed control of motors. The item specification is: Power=22kW; Input=415VAC; Drives=3 Nos; Cooling=Forced Air. The planned item quantity is 3 units, and the item deadline is 2026-04-15.","Power=22kW; Input=415VAC; Drives=3 Nos; Cooling=Forced Air. The planned item quantity is 3 units, and the item deadline is 2026-04-15.",3,2026-04-15
